,CATEGORY,PARENT_CATEGORY,BRAND,OFFER,RETAILER,OFFER_PREPROCESSED
95,packaged vegetables,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
96,rice grains,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
97,rice grains,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
98,carbonated soft drinks,beverages,goya,GOYA® Coconut Water,nan,goya coconut water
99,carbonated soft drinks,beverages,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
100,pudding gelatin,snacks,goya,GOYA® Coconut Water,nan,goya coconut water
101,pudding gelatin,snacks,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
102,frozen appetizers,frozen,goya,GOYA® Coconut Water,nan,goya coconut water
103,frozen appetizers,frozen,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
104,frozen chicken,frozen meat,goya,GOYA® Coconut Water,nan,goya coconut water
105,frozen chicken,frozen meat,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
106,frozen seafood,frozen meat,goya,GOYA® Coconut Water,nan,goya coconut water
107,frozen seafood,frozen meat,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
108,cooking baking,pantry,dr pepper,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",united supermarkets,dr pepper regular or zero sugar strawberries and cream 12 pack at select retailers
109,carbonated soft drinks,beverages,dr pepper,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",united supermarkets,dr pepper regular or zero sugar strawberries and cream 12 pack at select retailers
110,cooking baking,pantry,dixon,"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",lowes home improvement,dixon safety carpenter pencil 10 count at lowes
111,makeup,beauty,dixon,"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",lowes home improvement,dixon safety carpenter pencil 10 count at lowes
112,cooking baking,pantry,cesar,"CESAR® Wet Dog Food, spend $20",nan,cesar wet dog food spend 20
113,cooking baking,pantry,cesar,CESAR® Wet Dog Food Singles,nan,cesar wet dog food singles
114,sauces marinades,pantry,cesar,"CESAR® Wet Dog Food, spend $20",nan,cesar wet dog food spend 20
115,sauces marinades,pantry,cesar,CESAR® Wet Dog Food Singles,nan,cesar wet dog food singles
116,dog supplies,animals pet supplies,cesar,"CESAR® Wet Dog Food, spend $20",nan,cesar wet dog food spend 20
117,dog supplies,animals pet supplies,cesar,CESAR® Wet Dog Food Singles,nan,cesar wet dog food singles
118,frozen chicken,frozen meat,cesar,"CESAR® Wet Dog Food, spend $20",nan,cesar wet dog food spend 20
119,frozen chicken,frozen meat,cesar,CESAR® Wet Dog Food Singles,nan,cesar wet dog food singles
120,cooking baking,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
121,leafy salads,deli bakery,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
122,coffee,beverages,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
123,candy,snacks,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
124,frozen meals,frozen,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
125,packaged meals sides,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
126,dips salsa,snacks,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
127,soup broth,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
128,milk,dairy,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
129,wine,alcohol,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
130,bread,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
131,tea,beverages,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
132,sauces marinades,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
133,chips,snacks,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
134,cookies,snacks,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
135,cheese,dairy,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
136,packaged fruit applesauce,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
137,water,beverages,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
138,fruit vegetable snacks,snacks,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
139,bakery,deli bakery,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
140,pickled goods,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
141,prepared meals,deli bakery,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
142,dressings,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
143,pasta noodles,pantry,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
144,fruit juices,beverages,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
145,carbonated soft drinks,beverages,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
146,frozen turkey,frozen meat,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
147,frozen chicken,frozen meat,mcalisters deli,"Sign up for McAlister's Deli Rewards, tap for details",mcalisters deli,sign up for mcalisters deli rewards tap for details
148,cooking baking,pantry,simply organic,Simply Organic Seasoning Mixes OR Spices,nan,simply organic seasoning mixes or spices
149,sauces marinades,pantry,simply organic,Simply Organic Seasoning Mixes OR Spices,nan,simply organic seasoning mixes or spices
150,cooking baking,pantry,wesson,Wesson® Oil Products,nan,wesson oil products
151,cooking baking,pantry,subway,Spend $10 at Subway,subway,spend 10 at subway
152,cooking baking,pantry,subway,Spend $25 at Subway,subway,spend 25 at subway
153,cooking baking,pantry,subway,Spend $15 at Subway,subway,spend 15 at subway
154,cooking baking,pantry,subway,Spend $35 at Subway,subway,spend 35 at subway
155,cooking baking,pantry,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
156,cooking baking,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
157,cooking baking,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
158,cooking baking,pantry,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
159,cereal granola toaster pastries,pantry,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
160,cereal granola toaster pastries,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
161,cereal granola toaster pastries,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
162,cereal granola toaster pastries,pantry,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
163,frozen meals,frozen,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
164,frozen meals,frozen,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
165,frozen meals,frozen,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
166,frozen meals,frozen,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
167,crackers,snacks,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
168,crackers,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
169,crackers,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
170,crackers,snacks,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
171,soup broth,pantry,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
172,soup broth,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
173,soup broth,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
174,soup broth,pantry,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
175,bread,pantry,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
176,bread,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
177,bread,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
178,bread,pantry,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
179,chips,snacks,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
180,chips,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
181,chips,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
182,chips,snacks,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
183,cookies,snacks,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
184,cookies,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
185,cookies,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
186,cookies,snacks,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
187,cheese,dairy,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
188,cheese,dairy,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
189,cheese,dairy,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
190,cheese,dairy,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
191,fruit vegetable snacks,snacks,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
192,fruit vegetable snacks,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
193,fruit vegetable snacks,snacks,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
194,fruit vegetable snacks,snacks,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
195,frozen pizza pizza snacks,frozen,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
196,frozen pizza pizza snacks,frozen,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
197,frozen pizza pizza snacks,frozen,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
198,frozen pizza pizza snacks,frozen,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
199,frozen breakfast,frozen,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
200,frozen breakfast,frozen,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
201,frozen breakfast,frozen,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
202,frozen breakfast,frozen,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
203,dressings,pantry,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
204,dressings,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
205,dressings,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
206,dressings,pantry,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
207,packaged vegetables,pantry,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
208,packaged vegetables,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
209,packaged vegetables,pantry,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
210,packaged vegetables,pantry,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
211,refrigerated doughs,dairy,annies homegrown grocery,"Any General Mills™ products, buy 2
Good Rewards Members Only",nan,any general mills products buy 2 good rewards members only
212,refrigerated doughs,dairy,annies homegrown grocery,"General Mills™ products, select brands, spend $35",nan,general mills products select brands spend 35
213,refrigerated doughs,dairy,annies homegrown grocery,"General Mills™ products, select brands, spend $7 at Convenience Stores",nan,general mills products select brands spend 7 at convenience stores
214,refrigerated doughs,dairy,annies homegrown grocery,"General Mills™ products, select varieties, spend $12",nan,general mills products select varieties spend 12
215,cooking baking,pantry,red gold,Red Gold Tomato Ketchup,nan,red gold tomato ketchup
216,cooking baking,pantry,red gold,Red Gold Tomato Juice,nan,red gold tomato juice
217,condiments,pantry,red gold,Red Gold Tomato Ketchup,nan,red gold tomato ketchup
218,condiments,pantry,red gold,Red Gold Tomato Juice,nan,red gold tomato juice
219,dips salsa,snacks,red gold,Red Gold Tomato Ketchup,nan,red gold tomato ketchup
220,dips salsa,snacks,red gold,Red Gold Tomato Juice,nan,red gold tomato juice
221,drink mixes,beverages,red gold,Red Gold Tomato Ketchup,nan,red gold tomato ketchup
222,drink mixes,beverages,red gold,Red Gold Tomato Juice,nan,red gold tomato juice
223,sauces marinades,pantry,red gold,Red Gold Tomato Ketchup,nan,red gold tomato ketchup
224,sauces marinades,pantry,red gold,Red Gold Tomato Juice,nan,red gold tomato juice
225,cooking baking,pantry,chosen foods,"Chosen Foods® Mayo, select varieties",nan,chosen foods mayo select varieties
226,cooking baking,pantry,chosen foods,Chosen Foods® Dressings,nan,chosen foods dressings
227,condiments,pantry,chosen foods,"Chosen Foods® Mayo, select varieties",nan,chosen foods mayo select varieties
228,condiments,pantry,chosen foods,Chosen Foods® Dressings,nan,chosen foods dressings
229,dips salsa,snacks,chosen foods,"Chosen Foods® Mayo, select varieties",nan,chosen foods mayo select varieties
230,dips salsa,snacks,chosen foods,Chosen Foods® Dressings,nan,chosen foods dressings
231,dressings,pantry,chosen foods,"Chosen Foods® Mayo, select varieties",nan,chosen foods mayo select varieties
232,dressings,pantry,chosen foods,Chosen Foods® Dressings,nan,chosen foods dressings
233,cooking baking,pantry,burger king,Spend $15 at Burger King,burger king,spend 15 at burger king
234,cooking baking,pantry,hidden valley ranch,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",nan,hidden valley ranch salad dressing or secret sauce select varieties
235,cooking baking,pantry,hidden valley ranch,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",nan,hidden valley ranch seasoning mix packet 1 count
236,cooking baking,pantry,hidden valley ranch,"Hidden Valley® Ranch Seasoning, select varieties",nan,hidden valley ranch seasoning select varieties
237,cooking baking,pantry,hidden valley ranch,Hidden Valley® Ranch Seasoning Shaker,nan,hidden valley ranch seasoning shaker
238,cooking baking,pantry,hidden valley ranch,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",nan,hidden valley ranch night seasoning mix 1 count
239,dips salsa,snacks,hidden valley ranch,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",nan,hidden valley ranch salad dressing or secret sauce select varieties
240,dips salsa,snacks,hidden valley ranch,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",nan,hidden valley ranch seasoning mix packet 1 count
241,dips salsa,snacks,hidden valley ranch,"Hidden Valley® Ranch Seasoning, select varieties",nan,hidden valley ranch seasoning select varieties
